title,processed,type
"The Red Pyramid (Kane Chronicles, #1)",red pyramid kane chronicle rick riordan red pyramid,book
Stranger in a Strange Land,stranger strange land robert heinlein stranger strange land,book
Dress Your Family in Corduroy and Denim,dress family corduroy denim david sedaris dress family corduroy denim,book
The BFG,bfg roald dahl quentin blake bfg,book
A Short History of Nearly Everything,short history nearly everything bill bryson short history nearly everything,book
The Call of the Wild,call wild jack london call wild,book
"The Death Cure (Maze Runner, #3)",death cure maze runner james dashner death cure,book
Stardust,stardust neil gaiman stardust,book
The Namesake,namesake jhumpa lahiri namesake,book
"A Discovery of Witches (All Souls Trilogy, #1)",discovery witch soul trilogy deborah harkness discovery witch,book
Norwegian Wood,norwegian wood haruki murakami jay rubin noruwei mori,book
Where the Heart Is,heart billie letts heart,book
"Will Grayson, Will Grayson",grayson grayson john green david levithan grayson grayson,book
A Million Little Pieces,million little piece james frey million little piece,book
"Frostbite (Vampire Academy, #2)",frostbite vampire academy richelle mead frostbite,book
Quiet: The Power of Introverts in a World That Can't Stop Talking,quiet power introvert world stop talking susan cain quiet power introvert world stop talking,book
"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",island blue dolphin island blue dolphin scott dell island blue dolphin,book
The Crucible,crucible arthur miller christopher bigsby crucible,book
"Hatchet (Brian's Saga, #1)",hatchet brian saga gary paulsen hatchet,book
"The Final Empire (Mistborn, #1)",final empire mistborn brandon sanderson mistborn final empire,book
The Strange Case of Dr. Jekyll and Mr. Hyde,strange case dr jekyll mr hyde robert louis stevenson vladimir nabokov mervyn peake dan chaon strange case dr jekyll mr hyde,book
The Lorax,lorax dr seuss lorax,book
"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",diary wimpy kid diary wimpy kid jeff kinney greg heffley journal,book
"Throne of Glass (Throne of Glass, #1)",throne glass throne glass sarah j maas throne glass,book
"Shadow Kiss (Vampire Academy, #3)",shadow kiss vampire academy richelle mead shadow kiss,book
For Whom the Bell Tolls,bell toll ernest hemingway bell toll,book
Hotel on the Corner of Bitter and Sweet,hotel corner bitter sweet jamie ford hotel corner bitter sweet,book
Perfume: The Story of a Murderer,perfume story murderer patrick skind john e wood da parfum die geschichte eines rders,book
Fast Food Nation: The Dark Side of the All-American Meal,fast food nation dark side american meal eric schlosser fast food nation dark side american meal,book
The Tales of Beedle the Bard,tale beedle bard j k rowling tale beedle bard,book
Neuromancer,neuromancer william gibson neuromancer,book
A Farewell to Arms,farewell arm ernest hemingway farewell arm,book
The Tell-Tale Heart and Other Writings,tell tale heart writing edgar allan poe tell tale heart,book
The Art of War,art war sun tzu thomas cleary nzi b ngf,book
Defending Jacob,defending jacob william landay defending jacob,book
Breakfast of Champions,breakfast champion kurt vonnegut jr breakfast champion,book
The New Drawing on the Right Side of the Brain,new drawing right side brain betty edward drawing right side brain,book
Bel Canto,bel canto ann patchett bel canto,book
"Guns, Germs, and Steel: The Fates of Human Societies",gun germ steel fate human society jared diamond gun germ steel fate human society,book
Fried Green Tomatoes at the Whistle Stop Cafe,fried green tomato whistle stop cafe fannie flagg fried green tomato whistle stop cafe,book
"Things Fall Apart (The African Trilogy, #1)",thing fall apart african trilogy chinua achebe thing fall apart,book
The Undomestic Goddess,undomestic goddess sophie kinsella undomestic goddess,book
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,five love language express heartfelt commitment mate gary chapman five love language express heartfelt commitment mate,book
The Three Musketeers,three musketeer alexandre duma le trois mousquetaires,book
Little Bee,little bee chris cleave hand,book
"Evermore (The Immortals, #1)",evermore immortal alyson noel evermore,book
The Witches,witch roald dahl quentin blake witch,book
The Thirteenth Tale,thirteenth tale diane setterfield thirteenth tale,book
"Spirit Bound (Vampire Academy, #5)",spirit bound vampire academy richelle mead spirit bound,book
"Blood Promise (Vampire Academy, #4)",blood promise vampire academy richelle mead blood promise,book
Message in a Bottle,message bottle nicholas spark message bottle,book
The Paris Wife,paris wife paula mclain paris wife,book
"Harry Potter Boxset (Harry Potter, #1-7)",harry potter boxset harry potter j k rowling complete harry potter boxed set,book
"The Elite (The Selection, #2)",elite selection kiera cass elite,book
The Name of the Rose,name rose umberto eco william weaver se n barrett il nome della rosa,book
Go Ask Alice,go ask alice beatrice spark anonymous go ask alice,book
A Confederacy of Dunces,confederacy dunce john kennedy toole walker percy confederacy dunce,book
The Importance of Being Earnest,importance earnest oscar wilde importance earnest,book
"The Mark of Athena (The Heroes of Olympus, #3)",mark athena hero olympus rick riordan mark athena,book
"The Color of Magic (Discworld, #1; Rincewind #1)",color magic discworld rincewind terry pratchett colour magic,book
Kafka on the Shore,kafka shore haruki murakami philip gabriel umibe kafuka,book
"Red Dragon (Hannibal Lecter, #1)",red dragon hannibal lecter thomas harris red dragon,book
"I, Robot (Robot #0.1)",robot robot isaac asimov robot,book
"Dark Lover (Black Dagger Brotherhood, #1)",dark lover black dagger brotherhood j r ward dark lover,book
"Crescendo (Hush, Hush, #2)",crescendo hush hush becca fitzpatrick crescendo,book
Before I Fall,fall lauren oliver fall,book
The God of Small Things,god small thing arundhati roy god small thing,book
The Invention of Wings,invention wing sue monk kidd invention wing,book
What Alice Forgot,alice forgot liane moriarty alice forgot,book
A Brief History of Time,brief history time stephen hawking cao chi ph v n thi u brief history time big bang black hole,book
"Fall of Giants (The Century Trilogy, #1)",fall giant century trilogy ken follett fall giant,book
Under the Dome,dome stephen king dome,book
Snow Crash,snow crash neal stephenson snow crash,book
Just Listen,listen sarah dessen listen,book
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",winnie pooh winnie pooh milne ernest h shepard winnie pooh,book
Before I Go to Sleep,go sleep j watson go sleep,book
A Study in Scarlet,study scarlet arthur conan doyle study scarlet,book
"Brisingr (The Inheritance Cycle, #3)",brisingr inheritance cycle christopher paolini brisingr,book
The Purpose Driven Life: What on Earth Am I Here for?,purpose driven life earth rick warren purpose driven life earth,book
"Betrayed (House of Night, #2)",betrayed house night p c cast kristin cast betrayed house night novel,book
"Storm Front (The Dresden Files, #1)",storm front dresden file jim butcher storm front,book
Northanger Abbey,northanger abbey jane austen alfred macadam northanger abbey,book
"The 5th Wave (The 5th Wave, #1)",th wave th wave rick yancey th wave,book
Cold Mountain,cold mountain charles frazier cold mountain,book
If You Give a Mouse a Cookie,give mouse cookie laura joffe numeroff felicia bond give mouse cookie,book
"Something Blue (Darcy & Rachel, #2)",something blue darcy rachel emily giffin something blue,book
A Streetcar Named Desire,streetcar named desire tennessee williams streetcar named desire,book
The Historian,historian elizabeth kostova historian,book
Station Eleven,station eleven emily st john mandel station eleven,book
A Man Called Ove,man called ove fredrik backman henning koch en man som heter ove,book
"Clockwork Princess (The Infernal Devices, #3)",clockwork princess infernal device cassandra clare clockwork princess,book
"The Good Earth (House of Earth, #1)",good earth house earth pearl buck good earth,book
Ways of Seeing,way seeing john berger way seeing,book
"Dragonfly in Amber (Outlander, #2)",dragonfly amber outlander diana gabaldon dragonfly amber,book
Holy Bible: King James Version,holy bible king james version anonymous,book
In Her Shoes,shoe jennifer weiner shoe,book
The Hobbit: Graphic Novel,hobbit graphic novel chuck dixon j r r tolkien david wenzel sean deming hobbit,book
The Brief Wondrous Life of Oscar Wao,brief wondrous life oscar wao junot az brief wondrous life oscar wao,book
Their Eyes Were Watching God,eye watching god zora neale hurston eye watching god,book
Fantastic Beasts and Where to Find Them,fantastic beast find newt scamander j k rowling albus dumbledore fantastic beast find,book
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,malala story girl stood education shot taliban malala yousafzai christina lamb malala girl stood education shot taliban,book
Mansfield Park,mansfield park jane austen kathryn sutherland tony tanner claire lamont mansfield park,book
Man's Search for Meaning,man search meaning viktor e frankl trotzdem ja zum leben sagen ein psychologe erlebt da konzentrationslager,book
"In the Woods (Dublin Murder Squad, #1)",wood dublin murder squad tana french wood,book
The God Delusion,god delusion richard dawkins god delusion,book
"Where She Went (If I Stay, #2)",went stay gayle forman went,book
The World According to Garp,world according garp john irving world according garp,book
"Killing Floor (Jack Reacher, #1)",killing floor jack reacher lee child killing floor,book
Robinson Crusoe,robinson crusoe daniel defoe gerald mccann virginia woolf life strange surprising adventure robinson crusoe york mariner,book
The Prince,prince niccol machiavelli adolph caso rufus goodwin benjamin martinez il principe,book
"The Amber Spyglass (His Dark Materials, #3)",amber spyglass dark material philip pullman amber spyglass,book
"Wizard's First Rule (Sword of Truth, #1)",wizard first rule sword truth terry goodkind wizard first rule,book
The Kitchen House,kitchen house kathleen grissom kitchen house,book
Franny and Zooey,franny zooey j salinger franny zooey,book
Choke,choke chuck palahniuk choke,book
The Brothers Karamazov,brother karamazov fyodor dostoyevsky richard pevear larissa volokhonsky,book
"The City of Ember (Book of Ember, #1)",city ember book ember jeanne duprau city ember,book
The Andromeda Strain,andromeda strain michael crichton andromeda strain,book
The Green Mile,green mile stephen king green mile,book
The Prophet,prophet kahlil gibran prophet,book
"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",maus survivor tale father bleeds history maus art spiegelman maus survivor tale father bleeds history,book
"Untamed (House of Night, #4)",untamed house night p c cast kristin cast untamed house night novel,book
"Speaker for the Dead (Ender's Saga, #2)",speaker dead ender saga orson scott card speaker dead,book
Mere Christianity,mere christianity c lewis mere christianity,book
The Secret History,secret history donna tartt secret history,book
A Heartbreaking Work of Staggering Genius,heartbreaking work staggering genius dave egger heartbreaking work staggering genius,book
"The Clan of the Cave Bear (Earth's Children, #1)",clan cave bear earth child jean auel clan cave bear,book
Black Beauty,black beauty anna sewell black beauty,book
War and Peace,war peace leo tolstoy henry gifford aylmer maude louise maude,book
American Psycho,american psycho bret easton elli american psycho,book
"The Princess Diaries (The Princess Diaries, #1)",princess diary princess diary meg cabot princess diary,book
"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",lady detective agency lady detective agency alexander mccall smith lady detective agency,book
